Data,Tipo,Categoria,Subcategoria,Produto,Unidade,Quantidade,Preço de Custo,Preço de Venda,Tipo Avaria
2023-05-06,Avaria,Celulares,Smartphones,Smartphone,unidades,59,1799.99,2249.99,Danos no transporte
2023-05-29,Ajuste,Moda e Vestuário,Masculino,Gravata Slim,unidades,19,19.99,29.99,
2023-05-16,Ajuste,Moda e Vestuário,Feminino,Vestido Bandagem,unidades,64,36.99,54.99,
2023-05-17,Ajuste,Carnes,Suína,Bacon Fatiado,kg,25,24.99,34.99,
2023-05-12,Avaria,Hortifruti,Frutas,Banana Prata,kg,20,2.99,3.99,Validade expirada
2023-05-10,Avaria,Carnes,Suínos,Lombo Suíno,kg,53,22.7,32.91,Validade expirada
2023-05-09,Avaria,Moda e Vestuário,Feminino,Vestido de Renda,unidades,57,42.99,64.99,Furto
2023-05-02,Avaria,Hortifruti,Frutas,Cereja do Rio Grande,kg,8,34.99,39.99,Furto
2023-05-20,Avaria,Bebidas,Alcoólicas,Cerveja,unidades,11,5.9,7.67,Validade expirada
2023-05-12,Ajuste,Padaria,Bebidas Quentes,Café,kg,89,5.0,6.75,
2023-05-15,Avaria,Carnes,Suína,Pernil,kg,89,29.99,39.99,Furto
2023-05-20,Ajuste,Carnes,Aves,Sobrecoxa de Frango,kg,66,12.8,18.56,
2023-05-18,Ajuste,Padaria,Pães,Pão Francês,unidades,19,3.0,4.05,
2023-05-26,Avaria,Hortifruti,Frutas,Mirtilo,kg,25,19.99,22.99,Danos no transporte
2023-05-02,Ajuste,Carnes,Bovina,Língua de Boi,kg,39,24.99,34.99,
2023-05-11,Avaria,Hortifruti,Frutas,Cereja Americana,kg,95,49.99,54.99,Validade expirada
2023-05-07,Ajuste,Carnes,Aves,Codorna Inteira,kg,16,39.99,54.99,
2023-05-17,Avaria,Limpeza,Detergentes,Lava-louças,litros,34,4.8,7.2,Danos no transporte
2023-05-24,Avaria,Esportes,Bolas,Bola de Futebol,unidades,20,14.99,19.99,Furto
2023-05-05,Ajuste,Iluminação,Lustres,Lustre,unidades,76,119.99,149.99,
2023-05-28,Ajuste,Carnes,Bovina,Rabo de Boi,kg,58,17.99,24.99,
2023-05-17,Avaria,Carnes,Bovinos,Carne de Sol,kg,58,35.5,51.48,Validade expirada
2023-05-12,Avaria,Moda e Vestuário,Masculino,Jaqueta de Couro,unidades,68,89.99,129.99,Validade expirada
2023-05-09,Avaria,Padaria,Bolos,Torta de Morango,kg,28,22.0,29.7,Danos no transporte
2023-05-25,Ajuste,Hortifruti,Frutas,Tangerina,kg,79,2.49,3.49,
2023-05-16,Avaria,Carnes,Aves,Sobrecoxa de Frango,kg,40,12.8,18.56,Validade expirada
2023-05-12,Ajuste,Moda e Vestuário,Feminino,Vestido Bandagem,unidades,46,36.99,54.99,
2023-05-02,Avaria,Moda e Vestuário,Feminino,Saia Lápis,unidades,17,22.99,34.99,Danos no transporte
2023-05-29,Avaria,Carnes,Ovinos,Cordeiro Desossado,kg,100,79.99,94.99,Danos no transporte
2023-05-30,Avaria,Hortifruti,Frutas,Romã,kg,48,7.99,9.99,Furto
2023-05-19,Ajuste,Carnes,Bovina,Língua de Boi,kg,2,24.99,34.99,
2023-05-12,Ajuste,Celulares,Tablets,Tablet,unidades,38,899.99,1124.99,
2023-05-13,Avaria,Carnes,Suínos,Lombo Suíno,kg,12,22.7,32.91,Danos no transporte
2023-05-01,Ajuste,Higiene,Sabonetes,Gel de Banho,litros,77,4.2,5.88,
2023-05-19,Ajuste,Carnes,Bovina,Músculo,kg,97,24.99,34.99,
2023-05-08,Ajuste,Hortifruti,Frutas,Cereja Chilena,kg,55,44.99,49.99,
2023-05-17,Avaria,Snacks,Frutos Secos,Amendoim,kg,35,4.5,6.52,Danos no transporte
2023-05-01,Avaria,Padaria,Pães,Pão Francês,unidades,32,3.0,4.05,Validade expirada
2023-05-28,Ajuste,Lazer,Piscinas,Piscina Inflável,unidades,8,79.99,99.99,
2023-05-12,Ajuste,Moda e Vestuário,Masculino,Blazer Slim,unidades,23,59.99,89.99,
2023-05-10,Avaria,Eletrodomésticos,Micro-ondas,Micro-ondas,unidades,42,149.99,199.99,Validade expirada
2023-05-07,Avaria,Móveis,Guarda-roupas,Guarda-roupa,unidades,51,299.99,399.99,Validade expirada
2023-05-22,Ajuste,Carnes,Bovina,Língua de Boi,kg,61,24.99,34.99,
2023-05-01,Ajuste,Carnes,Aves,Peito de Frango,kg,36,15.5,22.47,
2023-05-19,Ajuste,Laticínios,Queijos,Queijo,kg,73,9.99,13.49,
2023-05-17,Avaria,Carnes,Suína,Orelha de Porco,kg,22,9.99,14.99,Danos no transporte
2023-05-09,Avaria,Carnes,Bovina,Músculo,kg,5,24.99,34.99,Validade expirada
2023-05-05,Avaria,Carnes,Bovina,Rabo,kg,74,29.99,39.99,Danos no transporte
2023-05-03,Avaria,Moda e Vestuário,Masculino,Camisa Xadrez,unidades,32,19.99,29.99,Validade expirada
2023-05-14,Avaria,Carnes,Aves,Asa de Frango,kg,35,13.99,19.99,Furto
2023-05-18,Avaria,Carnes,Aves,Coxa de Peru,kg,79,29.99,39.99,Furto
2023-05-26,Avaria,Moda e Vestuário,Feminino,Blusa Estampada,unidades,20,19.99,29.99,Danos no transporte
2023-05-13,Ajuste,Iluminação,Lâmpadas,Lâmpada LED,unidades,14,7.99,9.99,
2023-05-25,Ajuste,Carnes,Bovina,Filé Mignon,kg,30,59.99,79.99,
2023-05-20,Ajuste,Hortifruti,Frutas,Manga,kg,68,4.49,5.99,
2023-05-06,Avaria,Carnes,Ovinos,Carré de Cordeiro,kg,72,69.99,84.99,Validade expirada
2023-05-05,Ajuste,Hortifruti,Frutas,Carambola,kg,82,5.99,7.49,
2023-05-22,Avaria,Hortifruti,Frutas,Mirtilo,kg,91,19.99,22.99,Danos no transporte
2023-05-19,Ajuste,Carnes,Bovina,Alcatra,kg,15,46.99,64.99,
2023-05-09,Ajuste,Carnes,Aves,Codorna Inteira,kg,14,39.99,54.99,
2023-05-24,Ajuste,Carnes,Bovina,Maminha,kg,90,44.99,62.99,
2023-05-28,Avaria,Moda e Vestuário,Feminino,Vestido Rodado,unidades,6,36.99,54.99,Validade expirada
2023-05-08,Avaria,Móveis,Prateleiras,Prateleira de Parede,unidades,25,19.99,29.99,Furto
2023-05-06,Ajuste,Moda e Vestuário,Masculino,Terno Slim,unidades,88,99.99,149.99,
2023-05-01,Avaria,Hortifruti,Legumes,Cebola,kg,80,2.29,2.98,Furto
2023-05-03,Avaria,Carnes,Suínos,Lombo Suíno,kg,19,22.7,32.91,Furto
2023-05-10,Avaria,Esportes,Tacos,Taco de Baseball,unidades,20,19.99,29.99,Furto
2023-05-10,Avaria,Hortifruti,Frutas,Mamão Formosa,kg,9,3.99,5.49,Furto
2023-05-29,Ajuste,Carnes,Suína,Bisteca Suína,kg,7,21.99,29.99,
2023-05-28,Avaria,Eletrodomésticos,Fritadeiras,Fritadeira Elétrica,unidades,44,99.99,129.99,Furto
2023-05-28,Ajuste,Moda e Vestuário,Masculino,Calça Jogger,unidades,51,26.99,39.99,
2023-05-15,Avaria,Moda e Vestuário,Feminino,Blusa de Tricô,unidades,86,22.99,34.99,Danos no transporte
2023-05-28,Avaria,Sobremesas,Chocolates,Chocolate,kg,86,7.5,10.5,Danos no transporte
2023-05-21,Avaria,Carnes,Bovina,Coxão Mole,kg,61,42.99,59.99,Validade expirada
2023-05-28,Avaria,Carnes,Ovinos,Cordeiro Desossado,kg,69,79.99,94.99,Validade expirada
2023-05-04,Ajuste,Moda e Vestuário,Masculino,Camiseta Manga Longa,unidades,9,16.99,24.99,
2023-05-01,Ajuste,Carnes,Bovina,Contrafilé,kg,53,52.99,74.99,
2023-05-21,Avaria,Laticínios,Iogurtes,Iogurte,litros,23,3.8,5.13,Furto
2023-05-23,Ajuste,Carnes,Ovinos,Carré de Cordeiro,kg,41,69.99,84.99,
2023-05-25,Ajuste,Eletrodomésticos,Cafeteiras,Cafeteira Elétrica,unidades,68,79.99,99.99,
2023-05-12,Ajuste,Hortifruti,Frutas,Uva Verde,kg,19,7.49,9.99,
2023-05-23,Ajuste,Tecnologia,Acessórios,Carregador Portátil,unidades,96,19.99,29.99,
2023-05-24,Ajuste,Snacks,Frutos Secos,Amendoim,kg,99,4.5,6.52,
2023-05-09,Ajuste,Bebidas,Não Alcoólicas,Refrigerante,litros,88,4.5,5.85,
2023-05-20,Ajuste,Carnes,Suína,Costelinha de Porco,kg,39,34.99,49.99,
