Data,Tipo,Categoria,Subcategoria,Produto,Unidade,Quantidade,Preço de Custo,Preço de Venda,Tipo Avaria
2023-06-25,Ajuste,Carnes,Aves,Linguiça de Peru,kg,27,13.99,19.99,
2023-06-28,Ajuste,Carnes,Bovina,Picanha Argentina,kg,97,59.99,79.99,
2023-06-23,Ajuste,Moda e Vestuário,Feminino,Calça Jeans Skinny,unidades,19,29.99,49.99,
2023-06-06,Avaria,Moda e Vestuário,Masculino,Calça Cargo,unidades,71,29.99,44.99,Validade expirada
2023-06-17,Ajuste,Eletrodomésticos,Ferro de Passar,Ferro de Passar,unidades,17,39.99,49.99,
2023-06-07,Avaria,Hortifruti,Frutas,Limão Siciliano,kg,12,4.49,5.49,Validade expirada
2023-06-26,Avaria,Moda e Vestuário,Masculino,Calça Cargo,unidades,31,29.99,44.99,Danos no transporte
2023-06-25,Avaria,Lazer,Brinquedos,Cama Elástica,unidades,34,149.99,199.99,Validade expirada
2023-06-02,Ajuste,Tecnologia,Caixas de Som,Smart Speaker,unidades,22,79.99,99.99,
2023-06-28,Avaria,Esportes,Luvas,Luvas de Boxe,unidades,9,29.99,39.99,Furto
2023-06-03,Ajuste,Carnes,Suínos,Costela Suína,kg,54,18.9,27.4,
2023-06-22,Avaria,Hortifruti,Frutas,Laranja,kg,58,2.0,2.6,Validade expirada
2023-06-29,Avaria,Carnes,Aves,Peito de Pato,kg,6,49.99,64.99,Danos no transporte
2023-06-13,Avaria,Moda e Vestuário,Masculino,Camiseta Manga Longa,unidades,88,16.99,24.99,Furto
2023-06-18,Avaria,Hortifruti,Frutas,Caju,kg,24,5.49,6.99,Danos no transporte
2023-06-14,Ajuste,Moda e Vestuário,Feminino,Vestido Ciganinha,unidades,66,26.99,39.99,
2023-06-28,Ajuste,Carnes,Ovinos,Carré de Cordeiro,kg,41,69.99,84.99,
2023-06-20,Avaria,Lazer,Cadeiras de Praia,Cadeira de Praia,unidades,33,19.99,29.99,Danos no transporte
2023-06-05,Avaria,Tecnologia,Acessórios,Carregador Portátil,unidades,34,19.99,29.99,Danos no transporte
2023-06-26,Avaria,Carnes,Bovina,Lagarto,kg,30,44.99,59.99,Furto
2023-06-17,Avaria,Carnes,Aves,Peito de Frango,kg,49,15.5,22.47,Furto
2023-06-08,Ajuste,Hortifruti,Frutas,Caqui,kg,37,8.99,10.99,
2023-06-02,Ajuste,Moda e Vestuário,Feminino,Regata Básica,unidades,48,9.99,14.99,
2023-06-03,Avaria,Moda e Vestuário,Feminino,Regata Básica,unidades,3,9.99,14.99,Furto
2023-06-18,Ajuste,Padaria,Pães,Pão Integral,unidades,63,4.5,6.08,
