Data,Tipo,Categoria,Subcategoria,Produto,Unidade,Quantidade,Preço de Custo,Preço de Venda,Tipo Avaria
2023-03-27,Avaria,Moda e Vestuário,Feminino,Bolsa de Couro,unidades,89,44.99,69.99,Danos no transporte
2023-03-28,Ajuste,Carnes,Aves,Peito de Frango,kg,86,15.5,22.47,
2023-03-24,Avaria,Esportes,Bicicletas,Bicicleta,unidades,89,399.99,499.99,Validade expirada
2023-03-10,Avaria,Limpeza,Detergentes,Lava-louças,litros,41,4.8,7.2,Furto
2023-03-10,Avaria,Lazer,Brinquedos,Cama Elástica,unidades,80,149.99,199.99,Validade expirada
2023-03-09,Ajuste,Moda e Vestuário,Feminino,Vestido de Renda,unidades,60,42.99,64.99,
2023-03-26,Ajuste,Carnes,Aves,Peito de Frango,kg,2,15.5,22.47,
2023-03-11,Avaria,Moda e Vestuário,Feminino,Blusa de Tricô,unidades,67,22.99,34.99,Validade expirada
2023-03-04,Avaria,Moda e Vestuário,Masculino,Calça Chino,unidades,48,32.99,49.99,Validade expirada
2023-03-26,Avaria,Limpeza,Utensílios de Limpeza,Vassoura,unidades,72,12.0,18.0,Furto
2023-03-30,Ajuste,Limpeza,Detergentes,Detergente,litros,46,3.2,4.8,
2023-03-13,Avaria,Moda e Vestuário,Feminino,Shorts Jeans,unidades,39,16.99,24.99,Furto
2023-03-20,Avaria,Moda e Vestuário,Masculino,Camisa Xadrez,unidades,53,19.99,29.99,Danos no transporte
2023-03-27,Ajuste,Padaria,Biscoitos,Rosquinhas,kg,89,3.9,5.27,
2023-03-04,Avaria,Carnes,Bovina,Picanha Argentina,kg,54,59.99,79.99,Furto
2023-03-11,Avaria,Moda e Vestuário,Feminino,Vestido Midi,unidades,63,42.99,64.99,Danos no transporte
2023-03-01,Ajuste,Eletrodomésticos,Ventiladores,Ventilador de Mesa,unidades,78,49.99,69.99,
2023-03-12,Avaria,Móveis,Mesas,Mesa de Jantar,unidades,96,249.99,299.99,Furto
2023-03-21,Ajuste,Móveis,Cadeiras,Cadeira de Escritório,unidades,73,119.99,149.99,
2023-03-24,Avaria,Moda e Vestuário,Masculino,Gravata Slim,unidades,66,19.99,29.99,Validade expirada
2023-03-03,Ajuste,Hortifruti,Frutas,Ameixa,kg,32,6.99,8.99,
2023-03-16,Avaria,Carnes,Suína,Lombo,kg,62,31.99,44.99,Furto
2023-03-15,Avaria,Moda e Vestuário,Masculino,Camisa Xadrez,unidades,5,19.99,29.99,Validade expirada
2023-03-24,Ajuste,Celulares,Tablets,Tablet,unidades,18,899.99,1124.99,
2023-03-11,Ajuste,Moda e Vestuário,Masculino,Camisa Polo,unidades,8,22.99,34.99,
2023-03-26,Avaria,Decoração,Pratos Decorativos,Prato Decorativo,unidades,24,14.99,19.99,Furto
2023-03-25,Avaria,Carnes,Suína,Lombo Suíno,kg,44,31.99,44.99,Furto
2023-03-23,Ajuste,Carnes,Bovina,Cupim,kg,31,39.99,54.99,
2023-03-18,Ajuste,Móveis,Mesas,Escrivaninha,unidades,24,99.99,129.99,
2023-03-21,Avaria,Carnes,Ovinos,Pernil de Cordeiro,kg,47,59.99,74.99,Validade expirada
2023-03-25,Avaria,Carnes,Suínos,Costela Suína,kg,27,18.9,27.4,Validade expirada
2023-03-08,Avaria,Snacks,Frutos Secos,Amendoim,kg,16,4.5,6.52,Danos no transporte
2023-03-26,Avaria,Hortifruti,Frutas,Pitaya,kg,32,16.99,19.99,Validade expirada
2023-03-07,Ajuste,Carnes,Suína,Rabo de Porco,kg,99,17.99,24.99,
2023-03-14,Avaria,Moda e Vestuário,Feminino,Shorts Jeans,unidades,86,16.99,24.99,Furto
2023-03-02,Ajuste,Hortifruti,Frutas,Uva,kg,83,8.0,10.4,
2023-03-23,Avaria,Carnes,Bovina,Carne de Hambúrguer,kg,20,21.99,29.99,Furto
2023-03-11,Avaria,Bebidas,Alcoólicas,Vinho Tinto,litros,79,25.0,32.5,Furto
2023-03-05,Ajuste,Móveis,Sofás,Sofá de Couro,unidades,98,499.99,599.99,
2023-03-16,Avaria,Moda e Vestuário,Feminino,Blusa de Tricô,unidades,17,22.99,34.99,Validade expirada
2023-03-19,Avaria,Limpeza,Sabão em Pó,Amaciante de Roupas,litros,84,9.7,14.55,Validade expirada
2023-03-20,Avaria,Bebidas,Alcoólicas,Cerveja,unidades,7,5.9,7.67,Furto
2023-03-02,Ajuste,Snacks,Salgadinhos,Pipoca,kg,85,2.0,2.9,
2023-03-09,Ajuste,Carnes,Bovina,Coxão Mole,kg,21,42.99,59.99,
2023-03-14,Ajuste,Carnes,Bovina,Contrafilé,kg,12,52.99,74.99,
2023-03-23,Ajuste,Carnes,Bovina,Fraldinha,kg,40,31.99,44.99,
2023-03-21,Ajuste,Hortifruti,Frutas,Cereja,kg,81,24.99,29.99,
2023-03-10,Avaria,Decoração,Pratos Decorativos,Prato Decorativo,unidades,52,14.99,19.99,Danos no transporte
2023-03-07,Ajuste,Hortifruti,Frutas,Pera,kg,97,3.29,4.49,
2023-03-09,Avaria,Carnes,Bovina,Fraldinha,kg,22,31.99,44.99,Validade expirada
2023-03-23,Ajuste,Moda e Vestuário,Feminino,Vestido Rodado,unidades,53,36.99,54.99,
2023-03-05,Avaria,Eletrodomésticos,Aspiradores,Aspirador de Pó,unidades,68,149.99,199.99,Validade expirada
2023-03-01,Avaria,Eletrodomésticos,Aspiradores,Aspirador de Pó,unidades,56,149.99,199.99,Danos no transporte
2023-03-25,Avaria,Moda e Vestuário,Masculino,Tênis Esportivo,unidades,68,44.99,69.99,Furto
2023-03-11,Avaria,Hortifruti,Frutas,Laranja,kg,8,2.0,2.6,Furto
2023-03-24,Ajuste,Carnes,Aves,Fígado de Frango,kg,35,7.99,12.99,
2023-03-25,Ajuste,Hortifruti,Frutas,Damasco,kg,85,10.99,12.99,
2023-03-25,Ajuste,Esportes,Tacos,Taco de Baseball,unidades,76,19.99,29.99,
2023-03-19,Ajuste,Eletroeletrônicos,Televisores,Smart TV 50 polegadas,unidades,7,2199.99,2639.99,
2023-03-26,Ajuste,Carnes,Bovina,Carne de Hambúrguer,kg,11,21.99,29.99,
2023-03-23,Ajuste,Moda e Vestuário,Feminino,Vestido Longo,unidades,97,54.99,79.99,
