Data,Tipo,Categoria,Subcategoria,Produto,Unidade,Quantidade,Preço de Custo,Preço de Venda,Tipo Avaria
2023-10-19,Avaria,Decoração,Espelhos,Espelho de Parede,unidades,39,39.99,49.99,Validade expirada
2023-10-23,Avaria,Carnes,Bovina,Rabo de Boi,kg,36,17.99,24.99,Danos no transporte
2023-10-06,Avaria,Eletrodomésticos,Panelas Elétricas,Panela Elétrica de Arroz,unidades,48,69.99,89.99,Validade expirada
2023-10-02,Ajuste,Hortifruti,Legumes,Tomate,kg,72,3.49,4.54,
2023-10-20,Ajuste,Moda e Vestuário,Feminino,Sandália Rasteira,unidades,50,26.99,39.99,
2023-10-08,Ajuste,Hortifruti,Legumes,Cebola,kg,5,2.29,2.98,
2023-10-11,Ajuste,Carnes,Bovina,Fraldinha,kg,93,31.99,44.99,
2023-10-01,Avaria,Moda e Vestuário,Masculino,Gravata Slim,unidades,8,19.99,29.99,Validade expirada
2023-10-27,Ajuste,Eletrodomésticos,Liquidificadores,Liquidificador,unidades,82,59.99,79.99,
2023-10-29,Ajuste,Carnes,Suínos,Lombo Suíno,kg,62,22.7,32.91,
2023-10-25,Ajuste,Carnes,Bovina,Lagarto,kg,67,44.99,59.99,
2023-10-29,Avaria,Carnes,Ovinos,Pernil de Cordeiro,kg,86,59.99,74.99,Validade expirada
2023-10-29,Ajuste,Moda e Vestuário,Feminino,Blusa de Tricô,unidades,10,22.99,34.99,
2023-10-03,Ajuste,Moda e Vestuário,Feminino,Blusa Estampada,unidades,13,19.99,29.99,
2023-10-21,Avaria,Hortifruti,Frutas,Manga Tommy,kg,47,4.99,6.49,Furto
2023-10-18,Ajuste,Limpeza,Sabão em Pó,Amaciante de Roupas,litros,53,9.7,14.55,
2023-10-24,Avaria,Carnes,Suínos,Costela Suína,kg,31,18.9,27.4,Validade expirada
2023-10-25,Ajuste,Hortifruti,Frutas,Maracujá,kg,2,2.99,3.99,
2023-10-23,Avaria,Carnes,Aves,Salsicha de Frango,kg,4,9.99,14.99,Danos no transporte
2023-10-21,Ajuste,Hortifruti,Legumes,Cenoura,kg,10,1.79,2.33,
2023-10-07,Ajuste,Moda e Vestuário,Feminino,Vestido Ciganinha,unidades,95,26.99,39.99,
2023-10-05,Ajuste,Sobremesas,Sorvetes,Sorvete,litros,82,12.0,16.8,
