Data,Tipo,Categoria,Subcategoria,Produto,Unidade,Quantidade,Preço de Custo,Preço de Venda,Tipo Avaria
2024-01-15,Ajuste,Hortifruti,Frutas,Graviola,kg,34,9.49,11.99,
2024-01-20,Avaria,Carnes,Aves,Coxa de Peru,kg,1,29.99,39.99,Validade expirada
2024-01-03,Ajuste,Carnes,Bovina,Lagarto,kg,15,44.99,59.99,
2024-01-12,Avaria,Iluminação,Spots,Spot de Teto,unidades,37,19.99,29.99,Furto
2024-01-05,Avaria,Hortifruti,Frutas,Mamão Papaia,kg,88,3.79,4.99,Danos no transporte
2024-01-06,Avaria,Moda e Vestuário,Feminino,Vestido Bandagem,unidades,80,36.99,54.99,Furto
2024-01-22,Avaria,Eletrodomésticos,Aspiradores,Aspirador de Pó,unidades,91,149.99,199.99,Furto
2024-01-10,Ajuste,Moda e Vestuário,Feminino,Vestido Longo,unidades,99,54.99,79.99,
2024-01-05,Avaria,Moda e Vestuário,Feminino,Blusa Estampada,unidades,21,19.99,29.99,Validade expirada
2024-01-03,Ajuste,Hortifruti,Frutas,Damasco,kg,26,10.99,12.99,
2024-01-02,Avaria,Carnes,Bovina,Rabo de Boi,kg,96,17.99,24.99,Furto
2024-01-04,Avaria,Hortifruti,Frutas,Limão Siciliano,kg,3,4.49,5.49,Validade expirada
2024-01-02,Ajuste,Moda e Vestuário,Masculino,Blazer Slim,unidades,56,59.99,89.99,
2024-01-25,Ajuste,Limpeza,Detergentes,Detergente,litros,50,3.2,4.8,
2024-01-12,Avaria,Carnes,Suína,Costelinha de Porco,kg,12,34.99,49.99,Validade expirada
2024-01-22,Ajuste,Moda e Vestuário,Feminino,Vestido Floral,unidades,90,39.99,59.99,
2024-01-22,Avaria,Hortifruti,Frutas,Maçã,kg,37,4.99,6.49,Danos no transporte
2024-01-17,Ajuste,Hortifruti,Frutas,Cereja do Rio Grande,kg,39,34.99,39.99,
2024-01-07,Avaria,Carnes,Bovinos,Carne de Sol,kg,89,35.5,51.48,Validade expirada
2024-01-09,Avaria,Moda e Vestuário,Feminino,Cardigan de Lã,unidades,56,29.99,44.99,Danos no transporte
2024-01-01,Ajuste,Padaria,Biscoitos,Biscoito,kg,30,5.8,7.83,
2024-01-27,Ajuste,Celulares,Tablets,Tablet,unidades,4,899.99,1124.99,
2024-01-09,Avaria,Moda e Vestuário,Feminino,Vestido Longo,unidades,55,54.99,79.99,Furto
2024-01-27,Ajuste,Hortifruti,Frutas,Mamão Formosa,kg,68,3.99,5.49,
2024-01-27,Avaria,Carnes,Bovina,Bife de Alcatra,kg,70,47.99,64.99,Validade expirada
2024-01-15,Ajuste,Hortifruti,Frutas,Tamarindo,kg,43,11.99,13.99,
2024-01-13,Ajuste,Hortifruti,Frutas,Mamão,kg,91,5.5,7.15,
2024-01-22,Avaria,Hortifruti,Frutas,Abacate,kg,4,7.0,9.1,Furto
2024-01-27,Ajuste,Móveis,Prateleiras,Prateleira de Parede,unidades,6,19.99,29.99,
2024-01-13,Ajuste,Carnes,Ovinos,Contrafilé de Cordeiro,kg,4,54.99,69.99,
2024-01-21,Ajuste,Bebidas,Não Alcoólicas,Refrigerante,litros,52,4.5,5.85,
2024-01-13,Ajuste,Hortifruti,Frutas,Limão Cravo,kg,12,5.49,6.99,
2024-01-24,Ajuste,Moda e Vestuário,Masculino,Moletom com Capuz,unidades,20,32.99,49.99,
2024-01-03,Avaria,Carnes,Ovinos,Paleta de Cordeiro,kg,88,74.99,89.99,Validade expirada
2024-01-19,Avaria,Hortifruti,Frutas,Mirtilo,kg,21,19.99,22.99,Validade expirada
2024-01-30,Avaria,Decoração,Tapetes,Tapete de Banheiro,unidades,5,14.99,19.99,Furto
2024-01-03,Ajuste,Tecnologia,Periféricos,Teclado sem Fio,unidades,18,14.99,19.99,
2024-01-24,Ajuste,Carnes,Bovina,Carne de Hambúrguer,kg,30,21.99,29.99,
2024-01-26,Ajuste,Moda e Vestuário,Masculino,Cinto de Couro,unidades,69,12.99,19.99,
2024-01-10,Ajuste,Eletrodomésticos,Aspiradores,Aspirador de Pó,unidades,98,149.99,199.99,
2024-01-23,Avaria,Padaria,Bolos,Bolo de Chocolate,kg,25,18.0,24.3,Furto
2024-01-01,Avaria,Lazer,Cadeiras de Praia,Cadeira de Praia,unidades,92,19.99,29.99,Danos no transporte
2024-01-30,Avaria,Moda e Vestuário,Feminino,Blusa Estampada,unidades,13,19.99,29.99,Furto
2024-01-03,Ajuste,Carnes,Aves,Coração de Frango,kg,36,11.99,16.99,
2024-01-20,Ajuste,Carnes,Aves,Coxa de Frango,kg,57,17.99,24.99,
2024-01-25,Ajuste,Carnes,Aves,Sobrecoxa de Frango,kg,54,12.8,18.56,
2024-01-11,Ajuste,Hortifruti,Frutas,Romã,kg,58,7.99,9.99,
2024-01-18,Avaria,Hortifruti,Frutas,Maracujá,kg,94,2.99,3.99,Furto
2024-01-19,Ajuste,Tecnologia,Relógios Inteligentes,Smartwatch,unidades,55,119.99,149.99,
2024-01-09,Avaria,Celulares,Tablets,Tablet,unidades,13,899.99,1124.99,Danos no transporte
2024-01-25,Avaria,Carnes,Aves,Coxa de Frango,kg,45,17.99,24.99,Validade expirada
2024-01-28,Ajuste,Hortifruti,Frutas,Banana Prata,kg,57,2.99,3.99,
2024-01-05,Ajuste,Moda e Vestuário,Masculino,Jaqueta de Couro,unidades,61,89.99,129.99,
2024-01-01,Avaria,Moda e Vestuário,Masculino,Camisa Polo,unidades,6,22.99,34.99,Furto
2024-01-21,Ajuste,Bebidas,Alcoólicas,Cerveja,unidades,43,5.9,7.67,
2024-01-18,Avaria,Eletrodomésticos,Fritadeiras,Fritadeira Elétrica,unidades,18,99.99,129.99,Validade expirada
2024-01-06,Avaria,Laticínios,Iogurtes,Iogurte,litros,15,3.8,5.13,Danos no transporte
2024-01-24,Ajuste,Moda e Vestuário,Masculino,Suéter de Tricô,unidades,33,36.99,54.99,
2024-01-13,Ajuste,Eletrodomésticos,Panelas Elétricas,Panela Elétrica de Arroz,unidades,94,69.99,89.99,
2024-01-08,Avaria,Hortifruti,Frutas,Uva,kg,45,8.0,10.4,Danos no transporte
2024-01-22,Ajuste,Laticínios,Queijos,Queijo,kg,61,9.99,13.49,
2024-01-14,Avaria,Carnes,Bovina,Coxão Duro,kg,17,34.99,49.99,Danos no transporte
2024-01-15,Avaria,Carnes,Suína,Bisteca Suína,kg,99,21.99,29.99,Validade expirada
2024-01-13,Avaria,Eletroeletrônicos,Computadores,Notebook,unidades,58,3499.99,4199.99,Danos no transporte
2024-01-21,Ajuste,Hortifruti,Frutas,Mamão,kg,46,5.5,7.15,
2024-01-11,Avaria,Celulares,Smartphones,Smartphone,unidades,75,1799.99,2249.99,Furto
2024-01-09,Avaria,Moda e Vestuário,Masculino,Bermuda Jeans,unidades,87,19.99,29.99,Validade expirada
2024-01-17,Ajuste,Padaria,Pães,Pão Integral,unidades,58,4.5,6.08,
2024-01-24,Ajuste,Moda e Vestuário,Feminino,Regata Básica,unidades,18,9.99,14.99,
2024-01-05,Avaria,Laticínios,Queijos,Queijo,kg,65,9.99,13.49,Furto
2024-01-30,Ajuste,Carnes,Bovina,Fígado de Boi,kg,90,14.99,19.99,
2024-01-19,Avaria,Carnes,Bovina,Mocotó,kg,23,21.99,29.99,Furto
2024-01-25,Ajuste,Moda e Vestuário,Feminino,Shorts Jeans,unidades,13,16.99,24.99,
2024-01-22,Ajuste,Sobremesas,Chocolates,Chocolate,kg,1,7.5,10.5,
2024-01-17,Avaria,Bebidas,Não Alcoólicas,Suco de Laranja,litros,45,6.2,8.06,Furto
2024-01-05,Ajuste,Moda e Vestuário,Masculino,Sapato Social,unidades,55,49.99,79.99,
2024-01-18,Ajuste,Carnes,Bovina,Picanha Argentina,kg,50,59.99,79.99,
2024-01-26,Avaria,Hortifruti,Frutas,Pêssego,kg,25,4.0,5.2,Danos no transporte
2024-01-17,Ajuste,Moda e Vestuário,Feminino,Vestido Tubinho,unidades,37,34.99,49.99,
2024-01-14,Ajuste,Carnes,Aves,Sobrecoxa de Frango,kg,86,12.8,18.56,
2024-01-30,Avaria,Hortifruti,Frutas,Nectarina,kg,61,7.99,9.99,Furto
2024-01-22,Ajuste,Carnes,Aves,Coxa de Frango,kg,50,17.99,24.99,
2024-01-25,Ajuste,Carnes,Bovina,Coxão Duro,kg,68,34.99,49.99,
2024-01-17,Ajuste,Hortifruti,Frutas,Coco,unidades,54,6.49,7.99,
2024-01-22,Avaria,Carnes,Aves,Linguiça de Frango,kg,94,13.99,19.99,Furto
2024-01-20,Ajuste,Moda e Vestuário,Masculino,Bermuda Jeans,unidades,57,19.99,29.99,
2024-01-20,Avaria,Moda e Vestuário,Feminino,Vestido de Festa,unidades,42,69.99,99.99,Danos no transporte
2024-01-02,Ajuste,Eletrodomésticos,Fritadeiras,Fritadeira Elétrica,unidades,6,99.99,129.99,
2024-01-19,Ajuste,Decoração,Pratos Decorativos,Prato Decorativo,unidades,62,14.99,19.99,
2024-01-22,Avaria,Moda e Vestuário,Masculino,Sapato Social,unidades,98,49.99,79.99,Furto
2024-01-27,Avaria,Hortifruti,Frutas,Tangerina,kg,61,2.49,3.49,Furto
2024-01-03,Ajuste,Hortifruti,Frutas,Romã,kg,96,7.99,9.99,
2024-01-27,Avaria,Limpeza,Utensílios de Limpeza,Vassoura,unidades,97,12.0,18.0,Validade expirada
2024-01-19,Avaria,Carnes,Bovina,Cupim,kg,43,39.99,54.99,Furto
